MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
06/2012;MT;Galo;9546;0
06/2012;MT;Novilhona;62730;0
06/2012;PA;Novilhao;6217;0
06/2012;PR;Ovino;150;359
06/2012;RS;Touro/Touruno;9;0
06/2012;SC;Suino Tipo Carne,;78601;63014
06/2013;BA;Ovelha;54;0
06/2013;MS;Ovino;363;143
06/2013;SC;Peru;596989;0
06/2013;SE;Bovino;2870;74
06/2013;SE;Suino;284;236
06/2013;SP;Leitao;150;0
06/2014;PR;Bovino;57008;37251
06/2014;SC;Ra;15046;0
06/2015;SC;Novilho Precoce;1285;0
06/2015;SP;Galo;21045;0
06/2016;GO;Novilhona;1709;0
06/2016;MS;Novilho Intermediario;18;0
06/2016;PR;Vaca;4290;0
06/2017;GO;Novilho Precoce;18939;0
06/2017;MS;Frango;12964309;0
06/2017;MS;Novilho Intermediario;220;0
06/2017;MT;Galinha;581354;0
06/2018;AM;Bovino;3125;1552
06/2018;BA;Muar;7;1
06/2018;ES;Galinha;74342;0
06/2018;PE;Frango;3668237;0
06/2018;PI;Bovino;252;30
06/2018;RS;Novilha Precoce;123;0
06/2018;SC;Ganso;106;0
06/2018;SC;Novilha Precoce;1141;0
06/2018;SP;Frango;37697314;0
06/2019;PA;Bufalo;274;0
06/2019;PR;Novilhao;3113;0
06/2019;SP;Bovino;115526;45181
06/2020;MT;Novilhao;12895;0
06/2020;TO;Galo;3488;0
06/2021;DF;Suíno;368;1578
06/2021;MT;Bubalino;4;2
06/2021;PR;Aves;37856727;21384508
06/2021;PR;Ovino;372;72
06/2022;MS;Bovino;150150;130319
06/2022;SC;Equino;47;41
07/2001;AL;Bovino;1150;81
07/2003;MT;Bovino;47413;13009
07/2003;PE;Suino;167;138
07/2003;PR;Muar;5;5
07/2003;RS;Ema;48;0
07/2003;SC;Novilhao;239;0
07/2003;SC;Novilho Precoce;1000;0
07/2004;MS;Frango;10245252;0
07/2004;MT;Suino Tipo Carne,;16692;18127
07/2004;PR;Vaca;1059;0
07/2004;RR;Porco Nao Classificado;121;0
07/2004;SC;Galinha;428592;0
07/2004;SC;Novilha Precoce;405;0
07/2004;SC;Pato;24655;0
07/2005;GO;Bufala;93;0
07/2005;RO;Equino;62;140
07/2005;RS;Novilho Intermediario;5611;0
07/2006;GO;Novilha Intermediaria;3998;0
07/2006;MG;Novilha Precoce;283;0
07/2006;PA;Bufala;61;0
07/2006;PR;Novilhao;3131;0
07/2006;PR;Porca Matrizeira;289;0
07/2006;SC;Javali;67;52
07/2007;MS;Suino Tipo Carne,;40413;39343
07/2007;SC;Novilho Intermediario;471;0
07/2007;SP;Pato;4026;0
07/2008;GO;Touro/Touruno;184;0
07/2008;MS;Bufalo;6;0
07/2008;MS;Cordeira;49;0
07/2008;MS;Ovelha;980;0
07/2008;SP;Novilha Precoce;1034;0
07/2009;GO;Suino;260;280
07/2009;MT;Vaca;17617;0
07/2009;PR;Frango;111871195;0
07/2011;BA;Bufalo;12;0
07/2011;BA;Ovino;1428;359
07/2011;PR;Bovino;35978;20031
07/2011;PR;Suino Tipo Carne,;129567;119450
07/2011;RS;Novilho Precoce;1695;0
07/2011;SP;Pato;1342;0
07/2012;GO;Avestruz;28;0
07/2012;MS;Novilhao;197;0
07/2012;RS;Porco Matrizeiro;660;0
07/2012;RS;Suino;285566;274358
07/2013;AM;Novilhao;320;0
07/2013;MG;Vitelo;1291;0
07/2013;PA;Frango;3193597;0
07/2013;RS;Novilho Precoce;818;0
07/2013;TO;Frango;953687;0
07/2014;MG;Coelho;120;0
07/2014;MS;Frango;12494158;0
07/2015;MG;Bufalo;6;0
07/2015;MS;Bufala;33;0
07/2015;MS;Novilha Intermediaria;70;0
07/2015;MS;Novilho Intermediario;192;0
07/2015;PR;Equino;298;195
07/2015;SC;Leitoa;398;0
07/2016;SC;Codorna;344836;0
07/2016;SC;Galinha;681460;0
07/2016;SC;Novilha Precoce;261;0
07/2017;GO;Novilho Intermediario;41632;0
07/2017;MG;Porca Matrizeira;2752;0
07/2017;MS;Frango;13238782;0
07/2017;MT;Porca Matrizeira;1867;0
07/2017;RS;Galinha;590964;0
07/2017;SE;Bovino;1938;81
07/2018;GO;Touro/Touruno;15240;0
07/2018;MG;Galo;20443;0
07/2018;RO;Frango;1464440;0
07/2018;RS;Bufalo;64;0
07/2019;MT;Bufala;39;0
07/2019;PR;Bufalo;109;0
07/2019;SP;Bufalo;16;0
07/2019;TO;Frango;1160719;0
07/2020;MG;Bovino;119339;38886
07/2020;MG;Novilha Precoce;862;0
07/2020;MT;Touro/Touruno;582;0
07/2020;PA;Novilha Precoce;58;0
07/2020;PR;Frango;172083193;0
07/2020;PR;Vaca;995;0
07/2020;RS;Bubalino Jovem;79;0
07/2020;SP;Suino;37338;35386
07/2021;CE;Frango;6502;0
07/2021;GO;Asinino;0;1
07/2021;MS;Aves;0;1816388
07/2021;RS;Asinino;3;7
07/2021;RS;Equino;506;550
07/2021;RS;Peru;201216;272975
07/2021;SE;Tilápia do Nilo;7260;0
07/2022;PR;Galinha;1808409;5211022
08/2002;PR;Faizão;193175;0
08/2002;SC;Leitao;403;0
08/2003;PR;Vitelo;53;0
08/2004;GO;Ovino;157;18
08/2004;GO;Suino;335;31
08/2004;MS;Vaca;70;0
08/2004;MT;Novilhona;46547;0
08/2004;RS;Cordeiro;940;0
08/2004;SC;Porca Matrizeira;8070;0
08/2004;SP;Coelho;806;0
08/2005;MG;Novilho Precoce;5131;0
08/2005;MG;Suino;40626;33005
08/2005;MS;Bufala;4;0
08/2005;MS;Bufalo;53;0
08/2006;MG;Coelha;100;0
08/2006;PR;Peru;1346309;0
08/2006;RO;Bovino;23728;19018
08/2006;RO;Frango;679087;0
08/2006;SP;Novilhona;2297;0
08/2007;MG;Vaca;2843;0
08/2007;PR;Leitao;149;0
08/2007;SP;Bufala;15;0
08/2007;TO;Frango;232686;0
08/2007;TO;Touro/Touruno;37;0
08/2008;MG;Vaca;3331;0
08/2008;PE;Frango;902464;0
08/2008;PR;Leitoa;70;0
08/2008;PR;Ovino;42;11
08/2008;SC;Leitoa;1089;0
08/2008;SE;Bovino;2895;387
08/2009;MS;Bovino;153807;91800
08/2009;RS;Novilho Intermediario;1835;0
08/2009;SC;Galinha;398281;0
08/2009;SP;Vitelo;593;0
08/2010;MS;Cordeiro;868;0
08/2010;MS;Galo;7477;0
08/2010;MT;Suino Tipo Banha,;489;0
08/2010;RS;Suino Tipo Carne,;31736;35380
08/2011;PA;Novilha Precoce;103;0
08/2011;PR;Pato;4666;0
08/2011;SC;Marreco;19746;0
08/2011;SP;Faizão;1478979;0
08/2012;DF;Ovino;37;0
08/2012;GO;Novilha Intermediaria;7538;0
08/2012;SE;Ovino;0;70
08/2012;SP;Galeto;92;0
08/2013;RS;Peru;441939;0
08/2014;BA;Frango;2938274;0
08/2014;GO;Suino Tipo Carne,;71508;61290
08/2014;RS;Novilho Precoce;966;0
08/2014;SC;Suino Tipo Carne,;83009;69103
08/2014;SP;Nonato;12;0
08/2015;GO;Novilhona;1691;0
08/2015;RS;Novilha Precoce;95;0
08/2016;AM;Bovino;3393;1505
08/2016;BA;Galo;2597;0
08/2016;MS;Novilhao;346;0
08/2016;RS;Porco Matrizeiro;7;0
08/2017;AC;Novilhao;53;0
08/2017;GO;Touro/Touruno;10682;0
08/2017;RS;Suino;350964;322951
08/2017;SC;Bufalo;1;0
08/2017;SP;Vaca;785;0
08/2018;CE;Frango;422382;0
08/2018;GO;Ovino;18;52
08/2018;RS;Equino;519;527
08/2018;SC;Porco Matrizeiro;16;0
08/2018;SE;Bovino;2613;373
08/2020;AC;Bovino;19027;3288
08/2020;DF;Porco Nao Classificado;1906;0
08/2020;GO;Bufalo;3;0
08/2021;PR;Rã;300;300
08/2022;PB;Frango;930586;1109102
08/2022;SC;Camarão;89311;21121
08/2022;SC;Galinha;415603;8917067
09/2002;MG;Novilhao;209;0
09/2003;MS;Frango;9469056;0
09/2003;PB;Bovino;60;0
09/2003;RJ;Muar;2;0
09/2003;RS;Touro/Touruno;68;0
09/2004;AL;Suino;100;0
09/2004;MG;Novilha Precoce;510;0
09/2004;MT;Vaca;15854;0
09/2004;RO;Vaca;15599;0
09/2004;RS;Peru;375665;0
09/2004;TO;Equino;16;15
09/2004;TO;Suino;15;0
09/2005;RS;Frango;55581995;0
09/2005;RS;Galo;9541;0
09/2005;RS;Vitelo;26;0
09/2005;TO;Bovino;22766;21027
09/2006;MS;Bovino;175211;126322
09/2006;MS;Suino;1043;1201
09/2006;SC;Porca Matrizeira;9765;0
09/2006;SE;Suino;142;89
09/2006;TO;Novilhao;440;0
09/2007;PR;Vitelo;37;0
09/2007;RS;Peru;365700;0
09/2007;SC;Galinha Dangola;954;0
09/2007;SC;Porco Matrizeiro;546;0
09/2008;MS;Leitoa;398;0
09/2008;MT;Vaca;11993;0
09/2008;PR;Equino;547;393
09/2009;RS;Capao;290;0
09/2009;RS;Novilho Intermediario;1791;0
09/2009;SP;Vaca;1606;0
09/2010;BA;Galo;1591;0
09/2010;RO;Bufalo;1;0
09/2010;RS;Bovino;30250;27494
09/2010;SC;Novilha Precoce;356;0
09/2011;DF;Suino;8037;7880
09/2011;PA;Novilhona;2521;0
09/2011;SC;Coelha;541;0
09/2011;SP;Vaca;2775;0
09/2012;BA;Bufala;74;0
09/2012;PR;Suino Tipo Carne,;111735;108153
09/2012;PR;Touro/Touruno;176;0
09/2012;SP;Touro/Touruno;1;0
09/2013;GO;Bufalo;14;0
09/2013;MG;Vaca;201;0
09/2013;RS;Porca Matrizeira;4563;0
09/2014;MG;Bovino;140512;53945
09/2014;MG;Novilho Precoce;16262;0
09/2014;MG;Vaca;552;0
09/2014;MS;Bufalo;172;0
09/2014;SP;Novilho Intermediario;5384;0
09/2015;MS;Novilha Precoce;371;0
09/2015;PA;Frango;3293850;0
09/2015;PE;Frango;3564930;0
09/2015;PE;Galeto;1567171;0
09/2015;PR;Galinha De Postura;96771;0
09/2015;PR;Porca Matrizeira;1283;0
09/2015;SC;Frango;75907499;0
09/2016;BA;Galo;2596;0
09/2016;BA;Paca Fêmea;17;0
09/2016;MS;Novilha Precoce;26;0
09/2016;SP;Bovino;123581;22067
09/2016;TO;Frango;2105144;0
09/2017;GO;Galinha;427846;0
09/2017;MS;Novilhao;591;0
09/2017;PR;Porco Matrizeiro;142;0
09/2018;RS;Peru;357093;0
09/2019;AC;Bovino;17948;4882
09/2019;MG;Muar;7;2
09/2020;PI;Bovino;40;0
09/2021;AM;Galinha;6804;0
09/2021;PR;Tilápia, Tilápia-do-Nilo;2627564;0
09/2021;SC;Ovino;17;5
09/2022;AC;Bovino;13807;4568
09/2022;PR;Coelho;95;0
09/2022;TO;Frango;27800;0
1/2021;RS;Bubalino Jovem;97;0
10/2002;ES;Frango;765669;0
10/2002;RS;Novilha Intermediaria;815;0
10/2002;SP;Equino;894;496
10/2003;BA;Bovino;26093;3785
10/2003;RS;Equino;1599;1474
10/2003;SC;Novilha Precoce;415;0
10/2003;SC;Novilho Intermediario;1359;0
10/2004;RS;Porco Matrizeiro;25;0
10/2004;SC;Novilha Precoce;673;0
10/2005;BA;Frango;3454451;0
10/2005;PB;Galinha De Postura;29853;0
10/2005;RO;Frango;723343;0
10/2005;SC;Porco Matrizeiro;385;0
10/2005;SP;Cordeiro;367;0
10/2006;BA;Ovelha;42;0
10/2006;BA;Ovino;789;424
10/2006;PR;Asinino;1;0
10/2006;SC;Novilha Intermediaria;24;0
10/2006;SP;Vitelo;60;0
10/2007;GO;Novilha Intermediaria;179;0
10/2007;RS;Equino;939;839
10/2007;SC;Porca Matrizeira;10217;0
10/2008;BA;Cordeiro;71;0
10/2008;GO;Porca Matrizeira;2663;0
10/2008;PR;Novilho Intermediario;911;0
10/2009;GO;Suino Tipo Carne,;140612;0
10/2009;MS;Suino Tipo Carne,;64095;14516
10/2009;MT;Bufala;20;0
10/2009;PE;Frango Especial;30092;0
10/2010;MG;Porco Nao Classificado;766;0
10/2010;SC;Porca Matrizeira;8527;0
10/2011;RS;Leitoa;3175;0
10/2011;RS;Suino Tipo Carne,;31326;28646
10/2012;MG;Porco Matrizeiro;7;0
10/2012;RS;Frango;67069253;0
10/2012;SP;Suino Tipo Banha,;0;25
10/2013;ES;Bovino;12817;4062
10/2013;GO;Novilhao;27397;0
10/2013;GO;Peru;575762;0
10/2014;MG;Novilha Precoce;450;0
10/2014;MT;Novilhona;35909;0
10/2014;PR;Novilhao;2369;0
10/2014;RO;Touro/Touruno;66158;0
10/2015;DF;Suino;7945;8129
10/2015;GO;Galinha De Postura;18977;0
10/2015;MS;Suino Tipo Carne,;63613;4032
10/2015;RS;Suino Tipo Carne,;31478;29750
10/2016;GO;Novilhao;19647;0
10/2016;MT;Novilha Intermediaria;943;0
10/2016;PE;Cordeiro;172;0
10/2016;SC;Novilho Precoce;1483;0
10/2016;SC;Peru;909484;0
10/2017;MT;Vaca;6358;0
10/2017;PA;Galinha;9257;0
10/2017;RS;Porca Matrizeira;6009;0
10/2017;SC;Novilha Precoce;375;0
10/2018;MS;Vaca;37;0
10/2018;MT;Novilhona;33546;0
10/2018;PA;Galinha;9763;0
10/2018;PE;Bovino;0;7
10/2018;PR;Novilha Precoce;10;0
10/2019;GO;Bufalo;1;0
10/2019;RN;Frango;480728;0
10/2019;SE;Porco Nao Classificado;300;0
10/2020;PA;Bufalo;110;0
10/2020;RJ;Bovino;887;130
10/2020;RS;Cordeira;117;0
10/2020;SE;Ovino;30;0
10/2020;SE;Porca Matrizeira;47;0
10/2021;ES;Bovino;3968;122
10/2022;AL;Bovino;20;0
10/2022;MT;Frango;10210109;10158556
10/2022;SC;Galo;2456;0
11/2002;SC;Porco Matrizeiro;83;0
11/2003;BA;Bufalo;26;0
11/2003;GO;Novilhona;407;0
11/2003;MA;Bufalo;21;0
11/2003;MT;Novilha Precoce;33;0
11/2003;PR;Caprino;10;15
11/2003;RJ;Muar;1;1
11/2003;RS;Novilha Precoce;595;0
11/2003;SC;Galo;7013;0
11/2003;SP;Vitelo;131;0
11/2004;GO;Novilhona;2905;0
11/2004;PA;Bufala;69;0
11/2004;SC;Pato;45547;0
11/2004;SP;Equino;1015;923
11/2005;GO;Equino;774;781
11/2005;SC;Bufalo;23;0
11/2005;SC;Peru;837152;0
11/2006;MG;Asinino;28;75
11/2006;MG;Novilha Intermediaria;700;0
11/2006;MG;Novilha Precoce;652;0
11/2006;MS;Leitao;200;0
11/2006;PR;Bovino;62170;34996
11/2006;PR;Novilho Intermediario;470;0
11/2006;RS;Novilho Precoce;14438;0
11/2006;SC;Novilha Intermediaria;26;0
11/2007;PR;Frango;94646725;0
11/2007;PR;Ovino;10;35
11/2008;MG;Leitoa;11;0
11/2008;MG;Novilha Precoce;412;0
11/2008;RS;Coelha;1250;0
11/2008;RS;Porca Matrizeira;6775;0
11/2008;SP;Novilhona;887;0
11/2008;SP;Porco Matrizeiro;80;0
11/2009;MG;Asinino;34;33
11/2009;SC;Peru;494329;0
11/2010;BA;Galinha;28696;0
11/2010;MG;Coelha;123;0
11/2010;MG;Vaca;440;0
11/2010;MS;Avestruz;252;0
11/2010;PR;Faizão;4835;0
11/2011;GO;Ovino;0;20
11/2011;GO;Peru;452016;0
11/2011;MS;Bufala;3;0
11/2011;RO;Faizão;7164;0
11/2011;SC;Novilha Precoce;373;0
11/2012;GO;Galinha;112149;0
11/2012;GO;Galinha De Postura;44190;0
11/2012;MG;Vaca;538;0
11/2012;SP;Cordeiro;118;0
11/2013;MG;Coelho;538;0
11/2013;MG;Vitelo;1155;0
11/2013;MT;Porco Matrizeiro;6;0
11/2013;RS;Ovino;3510;2164
11/2013;SP;Ovelha;10;0
11/2014;BA;Cordeiro;237;0
11/2014;RS;Porco Matrizeiro;14;0
11/2014;SC;Porca Matrizeira;8573;0
11/2015;RS;Equino;527;413
11/2015;SC;Suino Tipo Banha,;1036;2437
11/2016;MT;Touro/Touruno;461;0
11/2016;SC;Coelho;718;0
11/2016;SC;Leitoa;984;0
11/2016;SP;Bufala;40;0
11/2016;TO;Novilho Intermediario;400;0
11/2017;DF;Suino Tipo Carne,;380;380
11/2017;GO;Novilho Intermediario;38512;0
11/2017;MG;Galo;9871;0
11/2017;MT;Galinha;561963;0
11/2017;PA;Bufala;231;0
11/2018;MS;Galinha;76399;0
11/2018;RO;Frango;1408165;0
11/2018;RS;Bovino;29428;26394
11/2018;RS;Suino Tipo Carne,;31068;31125
11/2019;SC;Bufala;16;0
11/2020;AC;Bovino;17135;1660
11/2020;GO;Novilha Precoce;27;0
11/2020;MG;Galo;5794;0
11/2020;MS;Bovino;127985;56052
11/2020;PE;Faizão;14986;0
11/2020;PR;Porco Matrizeiro;87;0
11/2021;BA;Frango;1469900;0
11/2021;CE;Asinino;3;188
11/2021;GO;Aves;11589108;4570899
11/2021;MG;Galo;4454;0
11/2021;PE;Aves;4400726;19271
11/2021;PI;Bovino;99;0
11/2021;RS;Bovino;43083;27135
11/2021;RS;Ovino;2000;1803
12/2000;AL;Bovino;2521;292
12/2002;RS;Ovino;6592;15
12/2003;ES;Frango;159334;0
12/2003;SC;Galinha;62588;0
12/2003;SP;Porca Matrizeira;318;0
12/2004;ES;Suino Tipo Carne,;695;624
12/2004;MG;Novilho Precoce;3899;0
12/2004;SP;Suino;8560;3317
12/2005;BA;Caprino;547;273
12/2005;MG;Touro/Touruno;9;0
12/2006;AM;Bufala;26;0
12/2006;MG;Novilha Precoce;333;0
12/2006;MS;Novilha Intermediaria;2222;0
12/2006;SC;Porca Matrizeira;10192;0
12/2006;SP;Novilho Intermediario;6616;0
12/2006;TO;Muar;51;42
12/2007;MS;Avestruz;17;0
12/2007;MT;Galinha;70855;0
12/2007;PR;Novilhona;812;0
12/2007;SC;Galinha;304796;0
12/2007;SC;Novilhao;192;0
12/2007;SP;Frango;54400924;0
12/2008;MA;Bovino;24443;2696
12/2008;PA;Bufala;82;0
12/2008;RO;Touro/Touruno;17073;0
12/2008;SC;Novilhao;839;0
12/2008;SP;Avestruz;133;0
12/2009;GO;Galinha;164007;0
12/2009;MG;Frango;28244999;0
12/2009;MG;Novilha Intermediaria;138;0
12/2009;MG;Ovino;85;97
12/2010;GO;Touro/Touruno;631;0
12/2010;MG;Ovino;362;566
12/2010;RS;Novilhona;374;0
12/2010;SC;Bufala;43;0
12/2010;SE;Ovino;88;62
12/2011;MG;Leitoa;160;0
12/2011;MS;Galo;4838;0
12/2011;MS;Porca Matrizeira;1815;0
12/2011;SP;Javali;32;0
12/2011;SP;Novilho Intermediario;2626;0
12/2012;GO;Novilho Precoce;20400;0
12/2012;RO;Bovino;19378;19908
12/2012;SE;Suino;157;136
12/2013;DF;Frango;6522438;0
12/2013;MG;Novilho Precoce;17164;0
12/2013;MS;Novilhao;297;0
12/2013;MT;Touro/Touruno;480;0
12/2013;RS;Ovino;1377;1329
12/2014;MS;Novilho Intermediario;148;0
12/2014;RS;Leitao;100;0
12/2014;SP;Leitao;761;0
12/2015;BA;Bovino;29342;11545
12/2015;SP;Bufalo;129;0
12/2016;PA;Bufalo;90;0
12/2017;MS;Touro/Touruno;3;0
12/2017;SP;Bovino;132302;32656
12/2018;MG;Coelho;130;0
12/2018;PR;Galinha De Postura;3462;0
12/2018;SC;Equino;37;26
12/2018;SC;Ovino;8;0
12/2019;PA;Novilho Precoce;13;0
12/2020;GO;Leitao;2222;0
12/2020;MA;Bovino;18195;166
12/2020;SP;Bovino;160156;28698
12/2020;SP;Frango;36671593;0
12/2020;SP;Galinha De Postura;1424922;0
12/2021;ES;Frango;1948157;1463720
12/2021;PA;Frango;5843748;15366
01/2002;SP;Suino Tipo Carne,;4342;4342
01/2003;GO;Suino Tipo Carne,;56331;1626
01/2003;RO;Touro/Touruno;335;0
01/2003;RS;Ovelha;2447;0
01/2003;SP;Muar;17;12
01/2003;SP;Touro/Touruno;2;0
01/2004;MG;Novilho Precoce;697;0
01/2004;RS;Peru;413923;0
01/2004;SC;Pato;10225;0
01/2005;GO;Novilho Precoce;2487;0
01/2005;MG;Faizão;45813;0
01/2005;MT;Frango;2136154;0
01/2005;RS;Porca Matrizeira;1754;0
01/2006;GO;Galinha;142414;0
01/2006;MT;Bovino;108590;76782
01/2006;SP;Porca Matrizeira;851;0
01/2007;GO;Peru;663;0
01/2007;MT;Vaca;26400;0
01/2008;BA;Avestruz;59;0
01/2009;PR;Coelho;4082;0
01/2009;SP;Suino;6346;1763
01/2010;DF;Galinha;6708;0
01/2010;MS;Equino;120;58
01/2010;MS;Leitao;16;0
01/2010;MS;Leitoa;17;0
01/2010;PR;Frango;103457394;0
01/2011;BA;Muar;2;4
01/2011;GO;Porca Matrizeira;2516;0
01/2011;PA;Bufala;84;0
01/2011;PR;Porco Nao Classificado;516;0
01/2011;RN;Frango;491102;0
01/2012;RO;Novilhao;30930;0
01/2013;AM;Touro/Touruno;122;0
01/2013;BA;Bufala;13;0
01/2013;GO;Frango;31697465;0
01/2013;MS;Suino;24420;26731
01/2013;PA;Bufalo;253;0
01/2014;MG;Porca Matrizeira;1660;0
01/2015;GO;Porca Matrizeira;302;0
01/2015;MS;Suino Tipo Banha,;0;3026
01/2015;MT;Novilho Precoce;1664;0
01/2015;PR;Novilhao;1899;0
01/2015;SC;Peru;586305;0
01/2015;SP;Cordeiro;80;0
01/2016;GO;Bufala;16;0
01/2016;MG;Porco Nao Classificado;33588;0
01/2016;PR;Peru;549295;0
01/2017;GO;Peru;588703;0
01/2017;MG;Peru;263682;0
01/2019;GO;Ovino;25;49
01/2019;PA;Vaca;3000;0
01/2019;RJ;Bovino;807;694
01/2019;RS;Bufala;207;0
01/2019;RS;Novilhao;920;0
01/2020;MS;Frango;12000915;0
01/2020;MS;Porco Nao Classificado;8939;0
01/2020;PI;Galinha;22355;0
01/2020;RS;Porca Matrizeira;12019;0
01/2020;SC;Equino;16;27
01/2020;SC;Galo;12482;0
01/2021;GO;Novilha Intermediaria;1540;0
01/2021;MG;Coelho;160;0
01/2021;MT;Suino;11359;15307
01/2022;DF;Bovino;6;16
01/2022;GO;Frango;17126944;6829394
01/2022;MT;Bovino;252620;154804
02/2000;MG;Bovino;1242;2018
02/2002;SP;Suino Tipo Carne,;2328;2328
02/2003;GO;Porca Matrizeira;20;0
02/2003;PR;Frango;39727026;0
02/2004;MG;Novilha Precoce;945;0
02/2004;MT;Suino;10277;12855
02/2004;SC;Bufala;2;0
02/2005;BA;Suino;1753;790
02/2005;MG;Peru;558060;0
02/2005;PR;Bovino;38043;34236
02/2005;RR;Bovino;2465;743
02/2005;RR;Suino;45;19
02/2005;RS;Bovino;23061;20019
02/2005;SC;Codorna;411893;0
02/2005;SP;Bovino;70745;58453
02/2006;SC;Coelho;760;0
02/2006;SC;Porca Matrizeira;7988;0
02/2007;GO;Galinha;20036;0
02/2007;MS;Novilho Intermediario;87;0
02/2007;MT;Bufalo;5;0
02/2007;RO;Equino;19;34
02/2007;RS;Galo;10720;0
02/2008;MG;Novilho Intermediario;3800;0
02/2008;RS;Cordeiro;3593;0
02/2008;RS;Porca Matrizeira;3425;0
02/2008;SC;Bufalo;25;0
02/2008;SP;Porca Matrizeira;587;0
02/2009;MG;Novilha Precoce;1174;0
02/2009;SP;Ovino;374;284
02/2009;SP;Porco Matrizeiro;105;0
02/2010;AM;Bufala;103;0
02/2010;BA;Equino;162;95
02/2010;ES;Frango;1375026;0
02/2010;MG;Coelha;87;0
02/2010;MG;Novilha Intermediaria;422;0
02/2010;PR;Ovino;23;83
02/2010;SC;Coelho;524;0
02/2010;SC;Novilho Precoce;360;0
02/2010;SP;Porco Matrizeiro;80;0
02/2011;MT;Suino;9889;10066
02/2012;RJ;Galinha;67940;0
02/2012;RS;Ovelha;6850;0
02/2012;RS;Porco Matrizeiro;483;0
02/2013;MG;Porco Matrizeiro;415;0
02/2013;PR;Porco Nao Classificado;2093;0
02/2013;SP;Bufala;1;0
02/2014;AM;Novilhona;72;0
02/2014;PR;Frango;131845817;0
02/2014;SP;Coelho;520;0
02/2015;BA;Cabrito;148;0
02/2015;ES;Bovino;10945;5373
02/2015;MT;Novilha Intermediaria;183;0
02/2015;RR;Bovino;2788;767
02/2015;SC;Novilha Precoce;469;0
02/2015;TO;Novilho Intermediario;233;0
02/2016;AC;Bovino;18376;4340
02/2016;BA;Galo;778;0
02/2016;GO;Novilho Precoce;23411;0
02/2016;TO;Vaca;228;0
02/2017;PA;Galinha;8414;0
02/2017;RS;Equino;464;419
02/2018;MG;Porco Matrizeiro;235;0
02/2018;RS;Frango;59150887;0
02/2018;RS;Peru;353840;0
02/2019;PA;Frango;3175105;0
02/2019;PR;Touro/Touruno;18;0
02/2020;AC;Bovino;18693;3273
02/2020;PR;Galinha;938547;0
02/2020;TO;Bufalo;11;0
02/2021;PI;Frango;6440;1820
02/2021;PR;Equino;37;29
02/2021;RO;Tambatinga;3906;0
02/2021;SP;Suino Tipo Carne,;51;51
02/2022;MS;Aves;0;1733665
03/2000;MG;Bovino;1266;2174
03/2003;TO;Vaca;10147;0
03/2004;MG;Novilho Precoce;2681;0
03/2004;SC;Porca Matrizeira;5981;0
03/2005;ES;Suino Tipo Carne,;597;519
03/2005;MG;Coelho;360;0
03/2005;TO;Bovino;38566;38741
03/2006;MG;Suino;37669;33533
03/2006;SC;Galinha;472499;0
03/2007;AM;Bufalo;183;0
03/2007;PR;Porca Matrizeira;402;0
03/2007;RO;Frango;689014;0
03/2008;GO;Muar;16;21
03/2008;MS;Frango;10287753;0
03/2008;RR;Suino;65;16
03/2009;MS;Bufala;1;0
03/2009;RS;Suino;254691;252888
03/2010;AL;Avestruz Fêmea;169;0
03/2010;BA;Ovino;1324;713
03/2010;GO;Novilha Intermediaria;4005;0
03/2010;MT;Novilhona;45844;0
03/2010;SC;Codorna;588521;0
03/2010;SC;Coelha;550;0
03/2011;BA;Bufala;92;0
03/2011;GO;Suino Tipo Carne,;150019;0
03/2011;MT;Porco Matrizeiro;11;0
03/2011;SP;Ovino;1499;1715
03/2011;TO;Frango;419318;0
03/2012;GO;Novilho Precoce;4466;0
03/2013;MT;Novilho Precoce;370;0
03/2013;RO;Frango;368377;0
03/2013;RS;Novilho Intermediario;5012;0
03/2014;BA;Cordeiro;164;0
03/2014;GO;Novilha Precoce;14654;0
03/2014;MG;Galinha De Postura;8232;0
03/2014;SP;Galinha De Postura;199169;0
03/2015;BA;Vaca;120;0
03/2015;SC;Frango;79174811;0
03/2015;SE;Suino;76;104
03/2016;MS;Galinha;103300;0
03/2016;PB;Frango;1570083;0
03/2016;RS;Bovino;30295;21795
03/2016;SP;Bufala;40;0
03/2017;MG;Novilha Precoce;9390;0
03/2017;MS;Novilha Precoce;129;0
03/2018;MS;Novilhona;159;0
03/2018;PA;Bufala;10;0
03/2018;RJ;Bovino;1404;830
03/2018;RS;Bufalo;90;0
03/2018;SC;Porca Matrizeira;12715;0
03/2019;GO;Novilha Intermediaria;11074;0
03/2019;PA;Novilho Precoce;19;0
03/2019;SE;Suino;119;119
03/2020;PA;Vaca;1918;0
03/2020;RS;Suino Tipo Carne,;70603;59112
03/2020;SC;Bufala;2;0
03/2020;SE;Porca Matrizeira;89;0
03/2020;SP;Bufalo;29;0
03/2020;SP;Equino;13;7
03/2021;ES;Bovino;4144;404
03/2021;ES;Galinha;9999;0
03/2021;GO;Asinino;2;2
03/2021;GO;Leitoa;248;0
03/2021;PA;Bubalino;99;63
03/2022;GO;Frango;20614388;4728693
03/2022;PE;Galinha;0;7695
04/2002;MT;Bovino;7123;294
04/2002;TO;Bufala;15;0
04/2003;MG;Bufalo;4;0
04/2003;MG;Muar;5;14
04/2003;MT;Equino;60;80
04/2003;SC;Porca Matrizeira;5783;0
