MES_ANO;UF_PROCEDENCIA;CATEGORIA;QTD_MACHO;QTD_FEMEA
03/2010;PR;Vaca;2370;0
03/2011;MT;Vaca;9454;0
03/2013;ES;Nonato;41;0
03/2013;RR;Bovino;2256;1884
03/2013;RS;Novilha Intermediaria;159;0
03/2013;SC;Leitoa;455;0
03/2014;PR;Bufala;61;0
03/2015;GO;Touro/Touruno;4485;0
03/2015;MS;Frango;12407970;0
03/2016;SP;Bubalino Jovem;6;0
03/2017;MG;Suino Tipo Banha,;380;44
03/2017;RS;Vaca;3130;0
03/2018;MG;Porco Nao Classificado;63134;0
03/2018;SC;Bufalo;23;0
03/2018;SP;Novilha Intermediaria;3010;0
03/2019;PA;Bufalo;219;0
03/2019;SC;Capao;3;0
03/2019;SC;Leitao;2053;0
03/2021;ES;Frango;1623000;1714744
03/2021;RS;Ovino;840;840
03/2022;DF;Suíno;1551;2718
03/2022;MS;Caprino;14;0
03/2022;MT;Pintado;5000;0
04/2002;ES;Asinino;2558;0
04/2002;RS;Porco Matrizeiro;168;0
04/2002;TO;Bufalo;58;0
04/2003;GO;Muar;19;22
04/2003;GO;Porca Matrizeira;1661;0
04/2003;RS;Ovino;1080;773
04/2005;MG;Suino Tipo Banha,;893;30
04/2005;MT;Porca Matrizeira;170;0
04/2005;SC;Porca Matrizeira;9429;0
04/2006;DF;Frango;4626338;0
04/2006;MT;Equino;118;135
04/2006;RO;Bovino;16798;6825
04/2006;RO;Muar;2;3
04/2006;SC;Novilhao;664;0
04/2007;BA;Cabrita;38;0
04/2007;BA;Cordeiro;57;0
04/2007;MT;Novilho Precoce;111;0
04/2007;PR;Bovino;44384;32312
04/2007;PR;Vitelo;43;0
04/2007;RO;Bovino;19234;37804
04/2008;AL;Avestruz;125;0
04/2008;DF;Galinha De Postura;5385;0
04/2008;DF;Suino;4549;4297
04/2008;PR;Novilho Intermediario;178;0
04/2008;SC;Bufalo;16;0
04/2009;MG;Muar;22;37
04/2009;MS;Bufala;11;0
04/2009;SE;Bovino;2391;671
04/2010;PR;Novilha Intermediaria;2133;0
04/2010;SC;Bovino;2601;3227
04/2010;SP;Novilho Precoce;163;0
04/2011;MG;Muar;12;11
04/2011;PR;Bufala;55;0
04/2012;MG;Peru;518671;0
04/2012;RR;Bovino;3037;1332
04/2012;SP;Pato;1136;0
04/2013;GO;Bufala;23;0
04/2013;MT;Novilha Intermediaria;11;0
04/2013;PA;Bufala;7;0
04/2013;RS;Vaca;6084;0
04/2013;SC;Leitao;290;0
